,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
527,физ. лицо,получение средств,833.05,безналичный,Гродно,МаксБанк-IIJL-619,18-01-2006,23:24:31,успешно,нет,0.0
542,физ. лицо,списание средств,4990.07,безналичный,Витебск,Белинвестбанк-TXPT-721,12-10-2024,23:01:17,успешно,да,455.47
568,физ. лицо,списание средств,2988.63,наличный,Витебск,БелАгропромбанк-ZFQX-921,15-09-2011,23:58:52,недостаточно средств,нет,0.0
589,физ. лицо,списание средств,382.11,наличный,Витебск,Белинвестбанк-GPSM-763,08-05-2008,23:26:45,недостаточно средств,нет,0.0
605,физ. лицо,списание средств,1608.97,наличный,Гродно,Беларусбанк-FBGB-950,22-11-2012,23:14:13,успешно,нет,0.0
676,юр. лицо,списание средств,1554.14,наличный,Витебск,БелАгропромбанк-KVRH-709,27-09-2021,23:14:06,неправильный ввод пин-кода,да,94.24
681,физ. лицо,списание средств,4916.44,безналичный,Гродно,МаксБанк-XTQG-344,22-07-2001,23:05:56,неправильный ввод пин-кода,да,281.82
705,физ. лицо,списание средств,1398.68,наличный,Гродно,Беларусбанк-VLWF-189,04-08-2023,23:10:47,успешно,да,90.67
758,физ. лицо,списание средств,1934.69,наличный,Гомель,Белинвестбанк-YOJE-056,22-10-2007,23:10:38,неправильный ввод пин-кода,нет,0.0
815,юр. лицо,получение средств,494.0,безналичный,Гомель,Приорбанк-NIBJ-507,02-05-2002,23:39:29,успешно,нет,0.0
822,физ. лицо,списание средств,3633.99,безналичный,Могилев,Беларусбанк-RQQQ-347,31-05-2009,23:08:15,недостаточно средств,нет,0.0
909,юр. лицо,получение средств,748.28,безналичный,Гомель,БелАгропромбанк-OOIE-134,24-09-2017,23:09:56,успешно,нет,0.0
929,юр. лицо,получение средств,2457.49,наличный,Гродно,Белинвестбанк-LSNT-772,15-04-2023,23:51:17,успешно,нет,0.0
939,физ. лицо,списание средств,1961.69,безналичный,Минск,Приорбанк-INKD-318,05-04-2010,23:02:09,успешно,нет,0.0
977,физ. лицо,получение средств,2504.19,безналичный,Витебск,Приорбанк-JQWY-988,06-02-2010,23:52:08,успешно,нет,0.0
1001,физ. лицо,списание средств,47.79,наличный,Гомель,БелАгропромбанк-MDAX-701,16-05-2022,23:38:50,недостаточно средств,да,1.76
1035,юр. лицо,получение средств,3112.01,наличный,Минск,Белинвестбанк-CGOA-613,31-03-2013,23:28:51,успешно,нет,0.0
1038,юр. лицо,получение средств,3776.4,наличный,Минск,МаксБанк-TQCP-840,31-01-2001,23:38:17,успешно,нет,0.0
1057,юр. лицо,списание средств,2124.38,наличный,Витебск,Беларусбанк-WYTX-494,11-07-2018,23:16:07,недостаточно средств,нет,0.0
1063,физ. лицо,списание средств,2257.03,наличный,Витебск,МаксБанк-OPPV-457,16-10-2012,23:15:42,неправильный ввод пин-кода,да,151.81
1084,юр. лицо,списание средств,1064.15,безналичный,Минск,Приорбанк-ZKYM-827,06-08-2000,23:47:52,недостаточно средств,да,79.77
1127,физ. лицо,получение средств,3062.65,наличный,Брест,БелАгропромбанк-NRSD-360,28-07-2003,23:45:51,успешно,нет,0.0
1135,юр. лицо,получение средств,2033.28,наличный,Могилев,Беларусбанк-XGTN-559,02-12-2018,23:06:11,успешно,нет,0.0
1262,физ. лицо,списание средств,1264.96,безналичный,Могилев,Беларусбанк-GUBZ-113,23-12-2022,23:53:38,успешно,да,67.1
1315,юр. лицо,получение средств,3397.85,наличный,Могилев,Беларусбанк-TXLC-740,23-09-2024,23:10:44,успешно,нет,0.0
1329,юр. лицо,получение средств,3707.73,наличный,Гродно,Беларусбанк-QYQZ-773,30-12-2002,23:41:41,успешно,нет,0.0
1352,юр. лицо,списание средств,3249.81,наличный,Могилев,БелАгропромбанк-ORTW-239,10-07-2001,23:17:12,неправильный ввод пин-кода,нет,0.0
1385,юр. лицо,списание средств,2874.61,наличный,Гомель,Беларусбанк-XJLN-393,24-07-2023,23:40:37,недостаточно средств,нет,0.0
1437,юр. лицо,списание средств,4018.97,наличный,Гродно,Беларусбанк-CFSC-591,05-11-2018,23:37:43,успешно,нет,0.0
1527,юр. лицо,получение средств,274.9,безналичный,Гомель,БелАгропромбанк-JPEO-390,28-01-2007,23:10:52,успешно,нет,0.0
1536,физ. лицо,списание средств,4383.12,безналичный,Витебск,Беларусбанк-MECY-101,04-09-2012,23:12:04,успешно,да,232.27
1560,физ. лицо,получение средств,3113.61,безналичный,Минск,Беларусбанк-IIHP-353,30-08-2021,23:45:18,успешно,нет,0.0
1617,физ. лицо,получение средств,2117.95,наличный,Минск,МаксБанк-MFYA-218,22-09-2000,23:53:50,успешно,нет,0.0
1640,юр. лицо,списание средств,2174.54,безналичный,Гродно,Беларусбанк-VDCZ-733,04-05-2008,23:03:17,недостаточно средств,нет,0.0
1652,юр. лицо,списание средств,1937.76,наличный,Брест,Белинвестбанк-KAAG-505,15-01-2022,23:19:38,неправильный ввод пин-кода,нет,0.0
1662,юр. лицо,списание средств,197.23,безналичный,Могилев,Беларусбанк-GUHG-979,20-07-2000,23:36:40,успешно,да,17.27
1681,юр. лицо,списание средств,1928.26,наличный,Гродно,МаксБанк-DTUB-577,30-11-2019,23:37:38,успешно,нет,0.0
1705,юр. лицо,получение средств,1844.69,наличный,Гомель,Приорбанк-XSCO-884,07-03-2018,23:41:54,успешно,нет,0.0
1731,юр. лицо,получение средств,1215.99,наличный,Минск,Приорбанк-JTKL-782,21-12-2021,23:31:29,успешно,нет,0.0
1737,юр. лицо,списание средств,2569.47,наличный,Витебск,МаксБанк-TEOI-678,20-04-2014,23:05:40,неправильный ввод пин-кода,нет,0.0
1768,юр. лицо,списание средств,3997.55,безналичный,Могилев,БелАгропромбанк-BWWT-532,03-06-2001,23:56:16,недостаточно средств,нет,0.0
1812,физ. лицо,списание средств,537.98,наличный,Витебск,МаксБанк-FWIR-928,15-05-2000,23:09:31,недостаточно средств,нет,0.0
1873,физ. лицо,получение средств,4387.96,наличный,Гомель,Беларусбанк-GAUF-694,23-01-2012,23:30:13,успешно,нет,0.0
1928,юр. лицо,получение средств,2149.82,безналичный,Могилев,Беларусбанк-JWNI-698,24-03-2019,23:44:01,успешно,нет,0.0
1949,юр. лицо,списание средств,991.56,безналичный,Витебск,Беларусбанк-WQMJ-286,15-02-2007,23:46:39,успешно,нет,0.0
1951,юр. лицо,получение средств,4745.89,безналичный,Минск,Приорбанк-VPYD-180,30-07-2017,23:11:37,успешно,нет,0.0
1978,юр. лицо,списание средств,4874.65,безналичный,Гомель,МаксБанк-KQGM-468,10-06-2020,23:42:38,успешно,да,413.74
2042,физ. лицо,получение средств,2542.04,наличный,Брест,БелАгропромбанк-ZCKJ-600,11-01-2021,23:02:09,успешно,нет,0.0
2097,физ. лицо,получение средств,648.04,безналичный,Брест,МаксБанк-YNNZ-754,17-07-2022,23:27:22,успешно,нет,0.0
2098,физ. лицо,списание средств,3384.43,наличный,Брест,Приорбанк-MKHV-480,07-02-2002,23:38:22,неправильный ввод пин-кода,нет,0.0
2136,юр. лицо,получение средств,815.81,безналичный,Минск,БелАгропромбанк-HZUR-664,20-02-2008,23:08:14,успешно,нет,0.0
2142,физ. лицо,списание средств,1283.13,безналичный,Минск,Беларусбанк-XUKY-531,13-04-2021,23:02:24,успешно,да,60.83
2166,физ. лицо,списание средств,1461.16,безналичный,Витебск,БелАгропромбанк-WVVZ-324,20-12-2023,23:14:38,успешно,да,140.37
2215,юр. лицо,списание средств,3795.93,безналичный,Гродно,МаксБанк-GHVM-622,04-05-2013,23:03:38,недостаточно средств,да,340.47
2220,физ. лицо,списание средств,716.78,безналичный,Брест,Беларусбанк-QYXM-105,14-02-2011,23:03:55,недостаточно средств,да,66.73
2223,физ. лицо,списание средств,46.79,наличный,Витебск,МаксБанк-ISDV-167,11-09-2006,23:46:44,успешно,да,1.28
2231,физ. лицо,списание средств,4242.75,наличный,Брест,Белинвестбанк-OZYD-242,01-01-2007,23:49:58,успешно,нет,0.0
2245,физ. лицо,списание средств,3117.48,наличный,Гомель,Белинвестбанк-CTZQ-201,13-04-2008,23:54:38,неправильный ввод пин-кода,да,261.04
2254,юр. лицо,получение средств,2568.03,безналичный,Гродно,МаксБанк-QHGA-339,17-05-2007,23:31:30,успешно,нет,0.0
2257,юр. лицо,получение средств,772.31,безналичный,Могилев,Белинвестбанк-EIKG-597,07-07-2024,23:43:55,успешно,нет,0.0
2262,физ. лицо,получение средств,2697.27,безналичный,Гродно,Белинвестбанк-YWUS-843,16-05-2015,23:45:54,успешно,нет,0.0
2273,юр. лицо,списание средств,794.05,безналичный,Гомель,МаксБанк-HZQW-550,07-10-2004,23:12:14,неправильный ввод пин-кода,да,52.99
2284,физ. лицо,получение средств,2362.51,наличный,Могилев,Белинвестбанк-YAYT-894,28-06-2006,23:32:03,успешно,нет,0.0
2298,физ. лицо,списание средств,911.35,наличный,Витебск,МаксБанк-OPMH-236,07-03-2006,23:44:05,недостаточно средств,нет,0.0
2301,юр. лицо,получение средств,2452.24,наличный,Брест,Беларусбанк-AFFZ-269,14-02-2005,23:28:36,успешно,нет,0.0
2326,юр. лицо,списание средств,2491.34,наличный,Брест,Белинвестбанк-SJEZ-817,28-06-2018,23:29:56,недостаточно средств,нет,0.0
2342,физ. лицо,получение средств,2637.09,безналичный,Брест,БелАгропромбанк-XUEK-396,04-11-2019,23:35:13,успешно,нет,0.0
2402,физ. лицо,получение средств,3326.0,безналичный,Гродно,МаксБанк-RQLX-063,07-09-2011,23:35:53,успешно,нет,0.0
2417,физ. лицо,получение средств,2370.62,наличный,Могилев,Приорбанк-XOFI-744,27-09-2005,23:07:38,успешно,нет,0.0
2435,юр. лицо,получение средств,2428.22,наличный,Минск,Беларусбанк-ZBIA-395,23-01-2008,23:13:52,успешно,нет,0.0
2467,юр. лицо,списание средств,3537.53,наличный,Витебск,МаксБанк-NAGP-855,25-08-2015,23:53:48,успешно,да,341.06
2504,юр. лицо,списание средств,4535.3,безналичный,Гродно,Беларусбанк-FSLM-895,12-04-2006,23:30:35,недостаточно средств,да,451.74
2530,физ. лицо,списание средств,1629.89,безналичный,Гомель,БелАгропромбанк-WQUU-487,21-08-2006,23:35:44,неправильный ввод пин-кода,да,149.94
2551,физ. лицо,списание средств,2333.87,безналичный,Брест,МаксБанк-VBVZ-008,23-02-2024,23:28:43,недостаточно средств,да,219.16
2555,юр. лицо,получение средств,4491.44,наличный,Гомель,МаксБанк-RVBH-675,12-04-2009,23:53:24,успешно,нет,0.0
2565,юр. лицо,списание средств,1619.33,наличный,Гродно,Приорбанк-ACLP-365,29-06-2015,23:22:26,недостаточно средств,да,88.01
2583,юр. лицо,списание средств,648.62,наличный,Гродно,БелАгропромбанк-OJHU-292,24-01-2012,23:14:11,неправильный ввод пин-кода,да,32.8
2635,юр. лицо,списание средств,1761.37,наличный,Минск,Белинвестбанк-IIQV-816,20-12-2009,23:16:35,неправильный ввод пин-кода,да,34.92
2649,юр. лицо,получение средств,4345.38,наличный,Витебск,Беларусбанк-DTXH-979,25-04-2023,23:28:45,успешно,нет,0.0
2731,физ. лицо,списание средств,28.84,наличный,Могилев,Беларусбанк-EDJN-083,14-12-2001,23:51:40,успешно,да,2.55
2746,физ. лицо,списание средств,476.84,наличный,Брест,Белинвестбанк-LWLZ-334,17-11-2024,23:30:51,неправильный ввод пин-кода,да,29.52
2759,юр. лицо,получение средств,906.47,наличный,Гомель,БелАгропромбанк-NGXR-159,23-12-2003,23:07:26,успешно,нет,0.0
2760,физ. лицо,получение средств,1354.62,наличный,Брест,МаксБанк-OOXC-106,17-11-2011,23:36:40,успешно,нет,0.0
2840,физ. лицо,получение средств,3074.58,наличный,Витебск,МаксБанк-FXFI-360,03-11-2005,23:13:15,успешно,нет,0.0
2863,юр. лицо,получение средств,1558.22,наличный,Минск,БелАгропромбанк-RVYY-717,06-08-2018,23:12:51,успешно,нет,0.0
2876,физ. лицо,получение средств,3231.37,наличный,Гродно,БелАгропромбанк-ERTF-253,19-05-2015,23:59:39,успешно,нет,0.0
2882,физ. лицо,списание средств,732.35,безналичный,Брест,Приорбанк-ZBXS-586,19-07-2024,23:04:20,недостаточно средств,да,51.05
2929,юр. лицо,списание средств,4443.02,безналичный,Витебск,Приорбанк-QWDT-661,05-06-2007,23:07:08,успешно,нет,0.0
2932,юр. лицо,списание средств,1099.87,наличный,Витебск,МаксБанк-AMPP-959,01-11-2016,23:08:38,успешно,да,15.84
2934,юр. лицо,получение средств,1304.24,безналичный,Минск,МаксБанк-MZVI-839,27-06-2021,23:16:46,успешно,нет,0.0
2936,юр. лицо,получение средств,578.31,наличный,Гомель,БелАгропромбанк-UAID-187,01-09-2013,23:01:11,успешно,нет,0.0
2945,юр. лицо,списание средств,1754.7,безналичный,Гродно,Приорбанк-IPSG-455,03-07-2015,23:16:14,недостаточно средств,нет,0.0
2959,юр. лицо,списание средств,4205.64,наличный,Могилев,Белинвестбанк-EFLO-475,16-11-2007,23:30:56,неправильный ввод пин-кода,да,230.6
2986,физ. лицо,получение средств,3405.91,наличный,Минск,БелАгропромбанк-UAFM-603,29-11-2006,23:21:09,успешно,нет,0.0
2994,физ. лицо,списание средств,1757.76,наличный,Гомель,Белинвестбанк-IHDP-477,21-06-2010,23:27:57,неправильный ввод пин-кода,да,58.71
2998,физ. лицо,списание средств,375.14,безналичный,Минск,Белинвестбанк-UBNF-106,06-08-2018,23:23:58,недостаточно средств,нет,0.0
3039,юр. лицо,получение средств,3764.32,безналичный,Могилев,Приорбанк-JIQY-772,14-01-2019,23:51:52,успешно,нет,0.0
3055,физ. лицо,списание средств,1795.35,безналичный,Брест,Беларусбанк-GPCM-537,28-12-2012,23:20:07,недостаточно средств,нет,0.0
3067,юр. лицо,получение средств,4215.01,наличный,Минск,Беларусбанк-UKQI-132,18-06-2004,23:30:44,успешно,нет,0.0
3080,физ. лицо,получение средств,1525.45,безналичный,Гродно,БелАгропромбанк-GMTU-590,11-05-2018,23:48:50,успешно,нет,0.0
3083,юр. лицо,получение средств,244.77,наличный,Витебск,БелАгропромбанк-PDJF-067,28-01-2012,23:27:18,успешно,нет,0.0
3084,физ. лицо,списание средств,305.64,безналичный,Гродно,Приорбанк-KEJN-908,03-11-2018,23:40:53,недостаточно средств,да,4.74
3096,юр. лицо,получение средств,2272.1,безналичный,Витебск,БелАгропромбанк-RSJN-793,04-01-2000,23:18:09,успешно,нет,0.0
3119,юр. лицо,списание средств,1745.76,наличный,Брест,Приорбанк-VVTN-328,26-01-2002,23:20:11,успешно,да,44.01
3138,юр. лицо,списание средств,4917.15,наличный,Гродно,Беларусбанк-YZBM-987,24-11-2006,23:03:32,неправильный ввод пин-кода,нет,0.0
3148,юр. лицо,списание средств,3734.97,безналичный,Брест,БелАгропромбанк-EHTM-991,08-03-2017,23:36:58,успешно,нет,0.0
3149,физ. лицо,получение средств,3626.17,наличный,Могилев,Приорбанк-KNLD-516,20-07-2020,23:56:38,успешно,нет,0.0
3178,физ. лицо,списание средств,1215.34,безналичный,Витебск,Приорбанк-PJCA-224,11-12-2003,23:10:04,успешно,нет,0.0
3216,юр. лицо,получение средств,2382.78,безналичный,Минск,Белинвестбанк-UUNQ-175,22-08-2014,23:23:29,успешно,нет,0.0
3232,юр. лицо,получение средств,1158.2,безналичный,Гродно,БелАгропромбанк-UGNT-266,25-01-2000,23:31:07,успешно,нет,0.0
3248,юр. лицо,получение средств,1464.13,безналичный,Гродно,БелАгропромбанк-PYMI-547,16-11-2017,23:35:36,успешно,нет,0.0
3250,юр. лицо,списание средств,1228.45,наличный,Могилев,Беларусбанк-ANYS-457,11-04-2007,23:06:12,успешно,да,59.3
3286,физ. лицо,списание средств,880.18,наличный,Гродно,БелАгропромбанк-WBVZ-010,15-09-2023,23:26:02,недостаточно средств,нет,0.0
3310,юр. лицо,получение средств,3119.71,безналичный,Гомель,МаксБанк-QLKG-963,30-05-2021,23:06:43,успешно,нет,0.0
3329,физ. лицо,получение средств,253.35,безналичный,Минск,Приорбанк-DPWP-012,11-08-2019,23:06:44,успешно,нет,0.0
3360,физ. лицо,списание средств,2791.5,наличный,Гродно,Белинвестбанк-DAYY-680,17-05-2019,23:58:23,успешно,да,207.87
3371,физ. лицо,получение средств,1707.81,наличный,Гомель,Приорбанк-TAVL-188,10-10-2019,23:10:40,успешно,нет,0.0
3441,физ. лицо,получение средств,791.2,наличный,Витебск,Приорбанк-PMKY-322,21-05-2023,23:18:43,успешно,нет,0.0
3453,физ. лицо,получение средств,3981.67,наличный,Витебск,БелАгропромбанк-VNHA-670,14-03-2009,23:45:40,успешно,нет,0.0
3524,юр. лицо,списание средств,4055.02,безналичный,Могилев,Беларусбанк-GXRJ-403,12-06-2018,23:52:00,неправильный ввод пин-кода,да,138.61
3561,физ. лицо,получение средств,1450.86,безналичный,Гродно,БелАгропромбанк-KYEO-790,08-04-2007,23:54:56,успешно,нет,0.0
3575,физ. лицо,списание средств,4669.13,безналичный,Витебск,Белинвестбанк-YWMN-493,10-03-2021,23:06:00,успешно,да,239.52
3591,физ. лицо,получение средств,4780.83,наличный,Минск,Беларусбанк-UDEJ-917,19-07-2000,23:26:41,успешно,нет,0.0
3631,физ. лицо,получение средств,3011.73,наличный,Витебск,Белинвестбанк-BWXJ-047,10-01-2001,23:52:47,успешно,нет,0.0
3647,юр. лицо,списание средств,1631.13,безналичный,Гродно,БелАгропромбанк-YYTC-409,27-12-2015,23:09:40,неправильный ввод пин-кода,нет,0.0
3656,физ. лицо,получение средств,714.32,безналичный,Минск,Приорбанк-XBZC-501,16-12-2020,23:26:37,успешно,нет,0.0
3751,физ. лицо,списание средств,2698.21,безналичный,Гродно,Беларусбанк-LVED-823,19-09-2018,23:34:57,неправильный ввод пин-кода,нет,0.0
3762,юр. лицо,списание средств,4553.74,наличный,Брест,БелАгропромбанк-HYMJ-609,06-10-2003,23:29:36,неправильный ввод пин-кода,да,260.62
3764,юр. лицо,списание средств,854.05,наличный,Витебск,Приорбанк-RGIE-833,27-03-2009,23:42:25,недостаточно средств,да,48.17
3775,юр. лицо,получение средств,2658.33,безналичный,Гродно,БелАгропромбанк-ACVC-287,21-09-2003,23:42:22,успешно,нет,0.0
3784,физ. лицо,получение средств,3096.02,безналичный,Могилев,Белинвестбанк-UUBL-240,01-09-2003,23:47:52,успешно,нет,0.0
3815,физ. лицо,получение средств,729.41,наличный,Минск,БелАгропромбанк-GDDV-383,15-11-2022,23:55:03,успешно,нет,0.0
3839,физ. лицо,списание средств,4031.35,безналичный,Витебск,БелАгропромбанк-WRTL-481,24-04-2006,23:10:48,неправильный ввод пин-кода,да,299.12
3859,физ. лицо,списание средств,2107.03,наличный,Могилев,Беларусбанк-LLTI-839,27-09-2000,23:53:42,неправильный ввод пин-кода,да,120.96
3865,юр. лицо,списание средств,2261.02,наличный,Витебск,БелАгропромбанк-KDAM-201,29-03-2008,23:13:25,успешно,нет,0.0
3870,физ. лицо,списание средств,1443.5,безналичный,Гродно,Приорбанк-MTDG-411,29-04-2017,23:13:13,недостаточно средств,да,66.15
3884,физ. лицо,получение средств,4114.55,наличный,Витебск,Приорбанк-JTNY-616,24-08-2022,23:58:30,успешно,нет,0.0
3894,юр. лицо,списание средств,2921.1,наличный,Гомель,БелАгропромбанк-KREX-016,29-03-2018,23:47:44,неправильный ввод пин-кода,нет,0.0
3895,физ. лицо,списание средств,1693.28,наличный,Гродно,Белинвестбанк-QUAT-605,10-09-2005,23:09:38,недостаточно средств,нет,0.0
3933,юр. лицо,получение средств,320.79,наличный,Гомель,Приорбанк-LMOZ-823,02-10-2010,23:39:07,успешно,нет,0.0
4056,юр. лицо,списание средств,2743.27,наличный,Гомель,Приорбанк-KDYL-322,15-03-2023,23:55:36,недостаточно средств,нет,0.0
4063,физ. лицо,списание средств,3219.63,безналичный,Брест,Белинвестбанк-RIBE-593,04-07-2001,23:23:56,неправильный ввод пин-кода,да,79.68
4091,юр. лицо,списание средств,4694.24,наличный,Гомель,Приорбанк-EXSY-972,17-03-2003,23:25:05,недостаточно средств,да,297.65
4115,юр. лицо,получение средств,140.82,наличный,Минск,Беларусбанк-MIKJ-463,08-01-2008,23:40:34,успешно,нет,0.0
4161,юр. лицо,списание средств,2618.62,безналичный,Гомель,Беларусбанк-ZFOI-256,30-01-2002,23:00:32,успешно,нет,0.0
4163,физ. лицо,получение средств,1351.19,безналичный,Гомель,Беларусбанк-SWTT-558,19-07-2016,23:41:59,успешно,нет,0.0
4200,физ. лицо,списание средств,79.18,наличный,Могилев,Беларусбанк-NLKS-878,12-02-2018,23:40:22,неправильный ввод пин-кода,да,2.83
4208,юр. лицо,получение средств,1069.47,наличный,Гродно,Приорбанк-YVIB-059,08-01-2020,23:06:21,успешно,нет,0.0
4238,юр. лицо,получение средств,580.18,наличный,Могилев,МаксБанк-TWLZ-122,26-10-2013,23:07:40,успешно,нет,0.0
4239,физ. лицо,получение средств,4438.5,наличный,Гомель,Приорбанк-COWB-040,18-06-2023,23:44:58,успешно,нет,0.0
4259,юр. лицо,списание средств,4989.26,безналичный,Гродно,МаксБанк-NCDG-051,18-07-2019,23:00:51,неправильный ввод пин-кода,да,149.98
4287,юр. лицо,получение средств,3316.89,безналичный,Витебск,Приорбанк-LZQD-473,16-12-2014,23:41:40,успешно,нет,0.0
4310,физ. лицо,получение средств,3736.49,наличный,Могилев,Белинвестбанк-XNDY-596,15-06-2018,23:08:40,успешно,нет,0.0
4324,физ. лицо,получение средств,2675.15,наличный,Гомель,БелАгропромбанк-NBDY-033,11-07-2016,23:35:39,успешно,нет,0.0
4330,физ. лицо,получение средств,4772.06,наличный,Витебск,БелАгропромбанк-ICSL-211,11-11-2001,23:03:28,успешно,нет,0.0
4400,физ. лицо,списание средств,4270.2,безналичный,Могилев,Приорбанк-JBLV-500,30-12-2017,23:07:46,успешно,да,361.12
4415,физ. лицо,получение средств,3082.39,наличный,Брест,Беларусбанк-HTUP-258,29-09-2018,23:02:47,успешно,нет,0.0
4442,юр. лицо,получение средств,1784.4,безналичный,Брест,Приорбанк-XNKI-991,30-06-2024,23:38:54,успешно,нет,0.0
4464,физ. лицо,списание средств,688.4,безналичный,Брест,МаксБанк-IBYV-416,21-01-2018,23:05:05,успешно,нет,0.0
4466,физ. лицо,списание средств,2990.03,наличный,Брест,МаксБанк-GGLF-522,09-06-2021,23:25:30,неправильный ввод пин-кода,нет,0.0
4525,юр. лицо,списание средств,4063.46,наличный,Брест,Беларусбанк-OQHG-562,08-03-2020,23:11:28,успешно,нет,0.0
4533,физ. лицо,получение средств,4702.02,безналичный,Минск,Белинвестбанк-KBPJ-399,10-10-2018,23:11:19,успешно,нет,0.0
4536,юр. лицо,списание средств,1439.69,наличный,Витебск,Беларусбанк-FWYZ-448,26-01-2010,23:20:14,неправильный ввод пин-кода,нет,0.0
4619,юр. лицо,списание средств,996.35,наличный,Могилев,Белинвестбанк-XTPV-896,08-10-2013,23:31:16,успешно,да,64.78
4652,физ. лицо,получение средств,2185.68,безналичный,Брест,Беларусбанк-JARA-371,26-07-2017,23:50:28,успешно,нет,0.0
4714,юр. лицо,получение средств,2259.35,безналичный,Минск,Белинвестбанк-HZMB-429,15-08-2003,23:43:11,успешно,нет,0.0
4734,физ. лицо,списание средств,4169.48,безналичный,Гродно,МаксБанк-CFCT-628,12-07-2023,23:25:26,недостаточно средств,да,261.66
4809,юр. лицо,получение средств,763.78,наличный,Брест,БелАгропромбанк-TXIX-546,09-08-2002,23:02:03,успешно,нет,0.0
4833,юр. лицо,списание средств,3824.08,наличный,Могилев,МаксБанк-NLOL-409,19-07-2011,23:50:57,неправильный ввод пин-кода,да,265.4
4858,физ. лицо,получение средств,4953.37,безналичный,Минск,Беларусбанк-GKSX-855,27-07-2007,23:48:12,успешно,нет,0.0
4862,физ. лицо,получение средств,2922.11,наличный,Брест,БелАгропромбанк-DAUK-482,03-09-2019,23:14:46,успешно,нет,0.0
4901,юр. лицо,получение средств,3460.42,наличный,Минск,БелАгропромбанк-HYTI-032,19-03-2011,23:21:45,успешно,нет,0.0
4902,юр. лицо,получение средств,2628.37,безналичный,Гродно,Белинвестбанк-PZVO-746,21-02-2020,23:50:16,успешно,нет,0.0
4913,физ. лицо,списание средств,4143.6,безналичный,Гомель,Белинвестбанк-NTPR-563,20-02-2024,23:17:04,успешно,нет,0.0
4940,физ. лицо,получение средств,257.76,безналичный,Витебск,МаксБанк-POUN-362,12-12-2017,23:16:38,успешно,нет,0.0
4950,юр. лицо,получение средств,4020.95,наличный,Могилев,Приорбанк-AJXK-962,30-07-2006,23:24:54,успешно,нет,0.0
4977,физ. лицо,получение средств,2030.54,наличный,Гомель,Приорбанк-KFDC-528,13-01-2017,23:21:05,успешно,нет,0.0
5012,физ. лицо,получение средств,2760.45,безналичный,Брест,Приорбанк-GRBF-503,28-03-2020,23:30:08,успешно,нет,0.0
